,time_stamp,fault,joint,pose,offset,time,time_label,drop_rate,mean,sd,fault_effect
416,1970-01-01 00:05:41.261,4,0,6,1,3,2,2,3,5,1
417,1970-01-01 00:04:13.554,1,2,1,9,5,3,1,4,2,1
418,1970-01-01 00:07:28.962,4,1,8,9,4,2,1,-4,5,4
422,1970-01-01 00:07:52.622,4,1,8,9,4,2,1,-4,5,5
426,1970-01-01 00:08:55.476,4,2,4,5,2,3,1,0,2,5
429,1970-01-01 00:10:02.295,4,2,4,5,2,3,1,0,2,2
432,1970-01-01 00:02:49.790,1,6,4,7,4,2,1,5,2,1
435,1970-01-01 00:06:30.061,4,3,6,6,5,2,1,5,2,1
436,1970-01-01 00:08:38.454,1,1,8,8,5,2,1,0,5,1
438,1970-01-01 00:08:45.467,1,1,8,8,5,2,1,0,5,3
442,1970-01-01 00:01:33.968,2,4,8,1,4,3,3,3,2,1
448,1970-01-01 00:01:39.008,3,4,1,5,3,2,2,-1,2,1
449,1970-01-01 00:03:22.230,1,2,8,6,3,2,2,-4,2,1
454,1970-01-01 00:08:04.371,1,1,4,1,5,3,2,-4,1,3
455,1970-01-01 00:08:04.393,1,1,4,1,5,3,2,-4,1,1
463,1970-01-01 00:08:43.669,1,3,6,5,5,2,2,-2,4,1
466,1970-01-01 00:01:33.364,4,3,4,4,1,3,1,-5,1,3
467,1970-01-01 00:04:42.184,2,3,3,7,1,2,2,-2,1,1
468,1970-01-01 00:01:33.823,1,8,6,6,1,2,3,2,2,1
471,1970-01-01 00:05:51.006,3,2,8,2,1,3,1,-1,4,6
472,1970-01-01 00:01:32.841,2,4,6,7,5,3,2,5,4,1
484,1970-01-01 00:02:59.915,1,3,6,1,2,3,3,-3,5,1
485,1970-01-01 00:04:23.074,3,4,7,8,1,2,1,-3,3,1
488,1970-01-01 00:01:39.131,2,8,4,6,2,2,2,5,2,1
493,1970-01-01 00:01:29.257,1,1,5,6,5,2,1,2,2,5
494,1970-01-01 00:04:17.487,4,8,1,10,2,2,1,2,3,1
495,1970-01-01 00:07:41.460,3,8,1,4,4,2,1,4,5,1
500,1970-01-01 00:04:09.660,1,7,3,3,1,2,3,2,5,1
501,1970-01-01 00:01:34.020,3,8,8,9,5,2,3,-3,1,1
504,1970-01-01 00:09:09.715,4,6,5,7,2,3,3,1,3,1
507,1970-01-01 00:05:47.901,1,6,6,7,1,3,1,-5,3,1
508,1970-01-01 00:04:09.946,3,5,2,7,2,2,3,3,1,1
516,1970-01-01 00:04:38.728,1,4,5,2,4,3,3,1,2,1
517,1970-01-01 00:09:19.445,2,2,2,1,2,3,3,-1,3,5
